Unnamed: 0,Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Rk,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos
0,Álex Abrines,111,2018-19,103.0,12.2,-0.2,0.6,6.3,1.0,25.0,OKC,NBA,31.0,2.0,588.0,4.4,12.5,1.2,2.4,3.3,10.1,1.0,1.0,0.4,3.4,3.8,1.6,1.3,0.5,1.1,4.2,13.1,0.35700000000000004,0.5,0.32299999999999995,0.48700000000000004,0.9229999999999999,0.507,2018,SG
1,Jaylen Adams,115,2018-19,99.0,13.5,-0.3,0.1,7.6,3.0,22.0,ATL,NBA,34.0,1.0,428.0,4.1,11.9,1.4,3.9,2.7,8.0,0.8,1.0,1.2,5.3,6.5,7.0,1.5,0.5,3.0,4.9,11.7,0.345,0.361,0.33799999999999997,0.45899999999999996,0.778,0.474,2018,PG
2,Steven Adams,106,2018-19,120.0,16.4,3.2,9.1,18.5,4.0,25.0,OKC,NBA,80.0,80.0,2669.0,8.4,14.1,8.4,14.1,0.0,0.0,2.6,5.1,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,0.595,0.596,0.0,0.595,0.5,0.591,2018,C
3,Bam Adebayo,104,2018-19,120.0,15.8,2.4,6.8,17.9,5.0,21.0,MIA,NBA,82.0,28.0,1913.0,7.2,12.4,7.1,12.0,0.1,0.4,4.2,5.8,4.2,11.0,15.2,4.7,1.8,1.7,3.1,5.2,18.6,0.5760000000000001,0.588,0.2,0.579,0.735,0.623,2018,C
4,LaMarcus Aldridge,110,2018-19,117.0,26.9,2.5,9.3,22.9,8.0,33.0,SAS,NBA,81.0,81.0,2687.0,12.4,24.0,12.3,23.2,0.2,0.8,6.3,7.5,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,0.519,0.528,0.23800000000000002,0.522,0.847,0.5760000000000001,2018,C
5,Grayson Allen,111,2018-19,95.0,24.4,-0.5,0.0,7.5,10.0,23.0,UTA,NBA,38.0,2.0,416.0,7.7,20.5,4.0,9.1,3.7,11.4,5.2,6.9,0.3,2.3,2.6,2.9,0.7,0.7,3.8,5.4,24.3,0.376,0.44299999999999995,0.32299999999999995,0.466,0.75,0.516,2018,SG
6,Jarrett Allen,106,2018-19,123.0,15.9,2.4,7.6,18.5,11.0,20.0,BRK,NBA,80.0,80.0,2096.0,7.6,12.9,7.5,11.9,0.1,1.0,4.5,6.3,4.3,10.9,15.3,2.5,1.0,2.7,2.3,4.2,19.8,0.59,0.629,0.133,0.595,0.7090000000000001,0.632,2018,C
7,Kadeem Allen,114,2018-19,116.0,19.6,0.1,1.0,16.2,12.0,26.0,NYK,NBA,19.0,1.0,416.0,7.5,16.3,5.6,12.2,2.0,4.2,4.9,6.3,0.9,5.0,5.9,8.8,1.9,0.5,3.0,5.3,21.9,0.461,0.457,0.47200000000000003,0.521,0.778,0.574,2018,SG
8,Al-Farouq Aminu,109,2018-19,118.0,13.7,1.7,5.8,13.2,13.0,28.0,POR,NBA,81.0,81.0,2292.0,5.4,12.5,3.4,6.6,2.0,5.9,3.2,3.7,2.4,10.5,12.9,2.2,1.4,0.7,1.5,3.0,16.1,0.433,0.514,0.34299999999999997,0.514,0.867,0.568,2018,PF
9,Justin Anderson,113,2018-19,103.0,17.2,-0.1,0.4,11.2,14.0,25.0,ATL,NBA,48.0,4.0,463.0,6.4,15.7,4.0,8.0,2.4,7.7,2.6,3.5,2.4,6.0,8.4,2.3,2.2,1.3,2.3,4.8,17.8,0.408,0.5,0.312,0.484,0.743,0.516,2018,SF
